serie,serie_id,factor,penalizacion,n_cambios
topic,7,4.0,0.009078042146778683,0
topic,8,0.25,0.0011453994172636228,7
topic,8,0.5,0.0022907988345272456,6
topic,8,1.0,0.004581597669054491,2
topic,8,2.0,0.009163195338108982,0
topic,8,4.0,0.018326390676217965,0
topic,9,0.25,0.0005673776341736677,6
topic,9,0.5,0.0011347552683473353,6
topic,9,1.0,0.0022695105366946707,4
topic,9,2.0,0.004539021073389341,2
topic,9,4.0,0.009078042146778683,1
