evento,serie,serie_id,rho,p,q,n,media_en_ventana,media_fuera
COVID-19: estado de alarma,topic,26,-0.234833,0.033699,0.611809,82,0.0,0.017678
Guerra de Ucrania,topic,26,-0.076492,0.494584,0.76088,82,0.002373,0.017258
Elecciones generales 20-D,topic,27,-0.063125,0.573155,0.80668,82,0.003099,0.012366
Elecciones generales 26-J,topic,27,0.063003,0.573898,0.80668,82,0.040855,0.010034
Moción de censura,topic,27,0.113512,0.309916,0.646604,82,0.007026,0.012299
Elecciones generales 28-A,topic,27,-0.098805,0.377158,0.688027,82,0.000608,0.012493
Elecciones generales 10-N,topic,27,-0.170164,0.126409,0.611809,82,0.0,0.012525
Investidura de 2020,topic,27,-0.191481,0.084835,0.611809,82,0.0,0.012687
COVID-19: estado de alarma,topic,27,-0.229564,0.038017,0.611809,82,0.0,0.013025
Guerra de Ucrania,topic,27,-0.129403,0.246583,0.615336,82,0.001704,0.01272
Elecciones generales 20-D,topic,28,0.039754,0.722886,0.897859,82,0.018648,0.012052
Elecciones generales 26-J,topic,28,0.173515,0.119002,0.611809,82,0.028678,0.011315
Moción de censura,topic,28,0.123563,0.268738,0.615336,82,0.013756,0.012265
Elecciones generales 28-A,topic,28,-0.021684,0.846672,0.953769,82,0.016678,0.012153
Elecciones generales 10-N,topic,28,-0.003614,0.974293,0.993232,82,0.007797,0.012609
Investidura de 2020,topic,28,-0.140981,0.20646,0.611809,82,0.004669,0.012874
COVID-19: estado de alarma,topic,28,-0.091011,0.416116,0.701453,82,0.006183,0.012952
Guerra de Ucrania,topic,28,-0.18634,0.0937,0.611809,82,0.003864,0.013046
Elecciones generales 20-D,topic,29,0.059837,0.593339,0.812544,82,0.022025,0.007552
Elecciones generales 26-J,topic,29,0.019588,0.861341,0.961053,82,0.017676,0.007647
Moción de censura,topic,29,0.132737,0.234519,0.615336,82,0.009773,0.008139
Elecciones generales 28-A,topic,29,-0.17407,0.117808,0.611809,82,0.0,0.008682
Elecciones generales 10-N,topic,29,-0.031278,0.780278,0.908666,82,0.008451,0.008248
Investidura de 2020,topic,29,-0.067332,0.547811,0.788246,82,0.006761,0.008356
COVID-19: estado de alarma,topic,29,-0.071289,0.524485,0.780937,82,0.005105,0.008553
Guerra de Ucrania,topic,29,0.037121,0.740568,0.898581,82,0.005904,0.008444
Elecciones generales 20-D,topic,3,-0.070494,0.529128,0.78291,82,0.027523,0.040182
Elecciones generales 26-J,topic,3,-0.165216,0.137985,0.611809,82,0.022609,0.040665
Moción de censura,topic,3,0.193029,0.082299,0.611809,82,0.063956,0.037639
Elecciones generales 28-A,topic,3,-0.05834,0.602627,0.819711,82,0.040893,0.039496
Elecciones generales 10-N,topic,3,-0.097234,0.384829,0.688027,82,0.024662,0.040328
Investidura de 2020,topic,3,-0.227582,0.039757,0.611809,82,0.004709,0.041828
COVID-19: estado de alarma,topic,3,-0.16678,0.134241,0.611809,82,0.014634,0.041891
Guerra de Ucrania,topic,3,-0.036193,0.746835,0.899821,82,0.041278,0.039429
Elecciones generales 20-D,topic,30,-0.062348,0.577895,0.809396,82,0.002066,0.008626
Elecciones generales 26-J,topic,30,-0.18709,0.092364,0.611809,82,0.0,0.008845
Moción de censura,topic,30,0.097415,0.383939,0.688027,82,0.015076,0.007771
Elecciones generales 28-A,topic,30,-0.087288,0.435521,0.722202,82,0.000608,0.008701
Elecciones generales 10-N,topic,30,-0.054035,0.629699,0.840262,82,0.002817,0.008587
Investidura de 2020,topic,30,-0.086061,0.442023,0.724426,82,0.002254,0.008699
COVID-19: estado de alarma,topic,30,-0.038451,0.731618,0.898581,82,0.005478,0.00857
Guerra de Ucrania,topic,30,0.139819,0.210263,0.611809,82,0.008578,0.008284
Elecciones generales 20-D,topic,31,-0.154562,0.165601,0.611809,82,0.0,0.008084
Elecciones generales 26-J,topic,31,-0.173924,0.118121,0.611809,82,0.0,0.008189
Moción de censura,topic,31,0.007103,0.949503,0.976395,82,0.009177,0.007572
Elecciones generales 28-A,topic,31,-0.068694,0.539726,0.784796,82,0.000608,0.008053
